Organization Name,Organization Name URL,Growth Category,Number of Employees,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Full Description,Headquarters Location,Description,CB Rank (Company),Acquired by,Acquired by URL,Acquisition Type,Acquisition Terms,Estimated Revenue Range,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Founders,Number of Founders,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Industries
Tortuga AgTech,https://www.crunchbase.com/organization/tortuga-agtech,Growing,11-50,Series A,20000000,USD,20000000,"Tortuga AgTech empowers growers by using robots that perform a variety of labor-intensive tasks on the farm, with an emphasis on the harvest. Tortuga AgTech's mission is to build a healthier society, and a thriving ecosystem, through smarter farming. To do this, they want to enable growers to sell better produce - unique, tasty, nutritious food. They're doing this by building Digital Horticulture systems, made up of powerful technology like robotics, automation, and precision data analytics and machine learning. These systems will enable advanced growing methods to compete with scale agriculture, which means growers will be able to grow better produce that's also better for the planet. The automation of picking, packing, and trimming will reduce significantly the manual labor hours needed to grow to produce. It will also increase yields through denser layouts and optimized grow conditions. And, they'll help create full-time local technical jobs as well. And they do all of that while providing fresher, healthier, and more sustainable products to the humans living near their grower customers' operations.","Denver, Colorado, United States","Tortuga AgTech helps growers by using robots that performs a variety of labor-intensive tasks on the farm, with an emphasis on harvest.","10,915",,,,,$1M to $10M,2016-01-01,year,Active,,,,,For Profit,http://www.tortugaagtech.com,https://www.linkedin.com/company/tortuga-agtech/about/,"Eric Adamson, Tim Brackbill",2,6,28624999,USD,28624999,"National Science Foundation, SVG Ventures, Susa Ventures, Haystack, AME Cloud Ventures",5,14,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Machine Learning"
Trace Genomics,https://www.crunchbase.com/organization/trace-genomics,Growing,11-50,Series B,10500000,USD,10500000,"Trace Genomics is specializing in soil health and microbiome analysis. They focus on providing advanced genetic insights into soil, helping farmers optimize their agricultural practices for better crop yield and sustainability. Trace Genomics utilizes next-generation sequencing technologies to analyze the microbial composition of soil, offering information about the diversity and abundance of microorganisms present. This data can be valuable for farmers in making informed decisions about soil management, crop selection, and the application of fertilizers and other inputs. The company aims to empower farmers with actionable information to enhance soil health, increase crop productivity, and contribute to sustainable agriculture practices.","Burlingame, California, United States","Trace Genomics provides genetic insights into soil, helping farmers optimize their agricultural practices for better crop yield.","11,005",,,,,$1M to $10M,2015-01-01,year,Active,,,,,For Profit,http://tracegenomics.com,https://www.linkedin.com/company/trace-genomics,"Diane Wu, Poornima Parameswaran",2,10,50235000,USD,50235000,"S2G Ventures, AgFunder, Viking Global Investors, Refactor, SVG Ventures",5,13,"Agriculture, AgTech, Biotechnology, Farming"
AgUnity,https://www.crunchbase.com/organization/agunity-pty-ltd,Growing,11-50,Venture - Series Unknown,,,,"AgUnity is a global technology platform that empowers the thousands of organizations working to address UN SDGs with a cost-effective means for connecting with and supporting remote people in a truly meaningful way. AgUnity is powered by Axsari: the world’s only smartphone OS that is specifically designed for the 1 billion people that, to date, have been left behind by technological advances and services.  AgUnity is combating poverty through functionality that is specifically relevant to remote people, an integrated User Experience that is intuitive and easy for them to use, offering apps and services that have immediate relevance to their lives. AgUnity provides what matters: access and inclusion through digital identity, secured blockchain-based transaction records, financial security, and reliable solutions to remote area connectivity.","Gold Coast, Queensland, Australia",AgUnity develops and deploys blockchain-based technology solutions for farmers.,"11,092",,,,,$1M to $10M,2016-01-01,year,Active,,,,,For Profit,http://www.agunity.com,https://www.linkedin.com/company/agunity,David Davies,1,4,5000000,USD,5000000,"Sproutx, Brisbane Angels, Sydney Angels, Venture Builders",1,4,"Agriculture, AgTech, Blockchain, Farming, InsurTech, Software"
Gramophone,https://www.crunchbase.com/organization/gramophone-218b,,501-1000,Venture - Series Unknown,150000000,INR,1796940,"Gramophone strives to create a difference in farming by bringing timely information, technology and right kind of inputs to achieve better yields for farmers. The company's endeavour is to bring the best products and knowledge to the farmers. Gramophone is one stop solution for all kinds of inputs for the farmers. Farmers can buy genuine crop protection, crop nutrition, seeds, implements, and agri hardware at their doorstep. They believe that technology can remove information asymmetry in the agriculture system. Farmers can access localized package of practice, crop advisory, weather information coupled with the best products to grow. This will improve the productivity and help farmers sustainably increase the income from agriculture.","Indore, Madhya Pradesh, India",Gramophone is an AgTech data-driven technology platform helping farmers achieve better yields by providing information and input planning.,"11,163",,,,,$10M to $50M,2016-05-01,month,Active,,,,,For Profit,http://www.gramophone.in,https://www.linkedin.com/company/gramophone.co.in,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan",4,8,22337841,USD,22337841,"Info Edge, Paipal Ventures, Better Capital, Asha Impact, Z3Partners",3,17,"Agriculture, AgTech, Farming, Internet"
BioConsortia,https://www.crunchbase.com/organization/bioconsortia,Growing,11-50,Series F,15000000,USD,15000000,"BioConsortia is developing highly effective microbial consortia for increasing agricultural yields. Soil and plant-associated microbes interact with and supplement the functions encoded by the crop genome. Opportunities abound to exploit these plant-microbe interactions but overwhelming complexity and the huge amount of genetic diversity have hindered the realization of these by conventional R&D methods. BioConsortia has developed a revolutionary Advanced Microbial Selection (AMS) process for crop trait enhancement that uses iterative rounds of plant phenotyping and selection to co-select for beneficial changes in the microbiome. Isolates are obtained from the microbiome of plants expressing the desired traits and are developed as consortia for application as a commercial seed treatment, drench, or granule product. We have a pipeline of products for increased fertilizer utilization, growth improvement, and other beneficial crop traits, such as abiotic tolerance and enhanced metabolite expression.","Davis, California, United States",BioConsortia is an agricultural technology company that develops microbial consortia for increasing agricultural yields.,"11,393",,,,,$1M to $10M,2014-01-01,year,Active,,,,,For Profit,http://bioconsortia.com,http://www.linkedin.com/company/bioconsortia-inc-,,,6,67000000,USD,67000000,"Khosla Ventures, Square 1 Bank, Otter Capital",3,3,"Agriculture, AgTech, Biotechnology, Farming"
Bijak,https://www.crunchbase.com/organization/bijak,Growing,251-500,Series B,1442000000,INR,19370592,"Bijak is a developer of B2B platform for agricultural commodities that gives buyers and sellers better prices, increased working capital and optimized logistics. Bijak is a business-to-business trade platform for the agricultural sector in India that enables traders, wholesalers, and food processors to keep a ledger of their transactions, access transparent pricing, optimize logistics, and improve their working capital cycles.","Haryana, Haryana, India",Bijak is a developer of B2B platform for agricultural commodities positioned towards MSME buyers and sellers,"11,475",,,,,Less than $1M,2019-05-01,day,Active,,,,,For Profit,https://www.bijak.in/,https://in.linkedin.com/company/bijakapp,"Daya Rai, Jitender Bedwal, Mahesh Jakhotia, Nikhil Tripathi, Nukul Upadhye",5,3,33720254,USD,33720254,"RTP Global, Surge, Omnivore, Better Capital, AL Trust",3,11,"Agriculture, AgTech, Apps, B2B, Financial Services"
Aquaconnect,https://www.crunchbase.com/organization/aquaconnect-india,Growing,101-250,Series B,4000000,USD,4000000,"Aquaconnect is a full-stack aquaculture inputs and outputs platform with embedded fintech, supported by a phygital distribution network. Founded in 2017, Aquaconnect works with fish farmers and shrimp farmers to improve farm productivity, financial access, and market linkage through intelligent technology solutions. Since its inception, Aquaconnect has been working to navigate the challenges in the aquaculture value chain through an integrated tech-driven approach. Aquaconnect is helping connect aquaculture farmers with stakeholders in the value chain, such as feed producers, farm equipment manufacturers, banks, insurers, importers, processors, exporters, and certifying bodies. Aquaconnect has assisted over 60,000 farmers through its unique AI & GIS-powered advisory platform. Aquaconnect’s data-enabled fintech solutions aim to bring transparency for BFSI stakeholders to engage with aquaculture farming communities efficiently.","Chennai, Tamil Nadu, India",Aquaconnect is an aquaculture platform that uses AI and satellite remote sensing to decarbonize the seafood value chain.,"11,701",,,,,$1M to $10M,2017-04-24,day,Active,,,,,For Profit,https://aquaconnect.blue,https://www.linkedin.com/company/aquaconnect1,Rajamanohar Somasundaram,1,7,31517698,USD,31517698,"AgFunder, Lok Capital, S2G Ventures, Flourish Ventures, Omnivore",8,12,"AgTech, Aquaculture, Artificial Intelligence (AI), FinTech, Seafood"
Greeneye Technology,https://www.crunchbase.com/organization/green-eye-technology,Growing,11-50,Venture - Series Unknown,20000000,USD,20000000,"Greeneye utilizes Artificial Intelligence to disrupt the agricultural pest control process, transitioning from the current practice of broadcast and wasteful spraying to precise and selective spraying of herbicides. Greeneye developed a proprietary selective spraying (SPP) system that turns every sprayer into a smart machine with seamless integration,  Greeneye’s SSP system can detect weeds and spray them precisely in real-time, reducing up to 90% of herbicide usage.  Demo - https://www.youtube.com/watch?v=iCOuTemX_cc&feature=youtu.be Greeneye is a leading technology company with a focus in precision agriculture, established in 2017 and based in Tel-Aviv, Israel. Greeneye has a multidisciplinary team with expertise in computer vision, artificial intelligence, agronomy, mechanical engineering, spraying applications, etc. We work with an extraordinary group of talented and visionary people who are committed to provide sustainable solutions for farmers around the world.","Tel Aviv, Tel Aviv, Israel",Greeneye's mission is to dramatically reduce chemical usage while increasing productivity and profitability for farmers.,"11,816",,,,,$1M to $10M,2017-07-01,day,Active,,,,,For Profit,http://www.greeneye.ag,https://www.linkedin.com/company/greeneye-technology/,"Alon Klein Orbak, Itzhak Khait, Nadav Bocher",3,7,51000000,USD,51000000,"Techstars, Farmers Business Network, Panache Ventures, Israel Innovation Authority, KdT Ventures",5,17,"Agriculture, AgTech, Artificial Intelligence (AI), Big Data, Farming, Internet of Things, Software"
Fyllo,https://www.crunchbase.com/organization/fyllo-a3c3,,101-250,Series A,330000000,INR,3960579,"Fyllo's models built with  real time farm data, crop intelligence and understanding of disease, pests life cycle help you optimize your pesticide usage and keep your plants healthy and produce within the residue limits. We help various corporate farming companies and exporters get best quality produce from their farms. Fyllo was established on April 4, 2019 in Bengaluru, Karnataka.","Bengaluru, Karnataka, India",Fyllo is an IoT and AI based precision agriculture service company.,"11,856",,,,,$1M to $10M,2019-04-04,day,Active,,,,,For Profit,https://www.fyllo.in,https://www.linkedin.com/company/fyllo/,"Sachin Gautam, Sudhanshu Rai, Sumit Sheoran",3,6,6517612,USD,6517612,"BlackSoil, Venture Catalysts, Titan Capital, SIDBI Venture Capital, Government of India",6,15,"Agriculture, AgTech, Artificial Intelligence (AI), Internet of Things, Machine Learning"
YoLa Fresh,https://www.crunchbase.com/organization/yola-fresh,Growing,51-100,Seed,7000000,USD,7000000,"At YoLaFresh, our mission is to revolutionize the fresh produce supply chain in Africa by leveraging technology and data to disrupt traditional distribution models. We strive to create a more efficient and transparent system that benefits all stakeholders, from farmers to retailers and consumers. Our vision is to create a world where access to fresh, high-quality produce is a universal right. We believe that by empowering farmers and retailers with innovative technology solutions, we will improve their livelihoods and make a positive impact on their communities.","Casablanca, Grand Casablanca, Morocco","YoLa Fresh empowers smallholder farmers by connecting them to retailers, restaurants through a fresh produce B2B platform","11,936",,,,,,2023-03-01,day,Active,,,,,For Profit,https://www.yolafresh.com,https://www.linkedin.com/company/yolafresh,"Larbi Alaoui Belrhiti, Youssef Mamou",2,2,9000000,USD,9000000,"FMO, Al Mada Ventures, Unpopular Ventures, Algebra Ventures, E3 Capital",2,6,"Agriculture, AgTech, B2B, E-Commerce, Food and Beverage, Supply Chain Management"
Gardyn,https://www.crunchbase.com/organization/gardyn,Growing,51-100,Series B,35000000,USD,35000000,"Gardyn develops cutting-edge technologies to grow large quantities of nutritious and tasty produce at home. Gardyn develops high density, intelligent, plug-n-play Gardyns for the vertical cultivation of top-quality produce anywhere, all year, and in any climate. Their smart, indoor micro-gardens and farms improve lifestyle, health, and the environment by providing tasty, affordable, nutritious greens and fruits without sacrificing design, space, or resources. It was started by FX Rouxel in 2018 and is based in Bethesda, Maryland, United States.","Bethesda, Maryland, United States",Gardyn develops cutting-edge technologies to grow large quantities of nutritious and tasty produce at home.,"11,980",,,,,$10M to $50M,2018-01-01,year,Active,,,,,For Profit,https://mygardyn.com/,https://www.linkedin.com/company/gardyn/,FX Rouxel,1,6,55000000,USD,55000000,"JAB Holding Company, French Partners",2,2,"AgTech, Farming, Green Consumer Goods, GreenTech, Home and Garden, Lifestyle, Nutrition, Sustainability"
ThriveAgric,https://www.crunchbase.com/organization/thrive-agric,Growing,101-250,Grant,1000000,USD,1000000,"Thrive Agric is an agricultural technology providing access to finance, premium markets, and data-driven advisory for smallholder farmers. We fondly call ourselves Farmily and at our core, we are a technology-driven and agribusiness startup connecting farmers with access to finance, premium markets and passionate about ensuring global food security and democratising agricultural participation. We drive digital participation by crowdfunding through our online platform; thriveagric.com and use these funds to engage farmers with quality inputs, agricultural expertise, process automation, and machinery, with the promise of decent returns to our subscribers and the farmers at the end of each farming cycle. One farmer at a time, our big vision is to build an Africa that feeds the world and itself. How do we plan to achieve this? Empower African Farmers by lowering barriers to accessing Capital and financial services, data driven best practices and technology to improve yield as well as access to local and global markets for their produce with established offtaker relationships like Flour Mills of Nigeria, Dangote Foods, Nestle, Stallion Rice, Grand Cereal, Amo Byng, and a lot more others. We offer farm investment opportunities that create big impact with our farmers and makes you a profit. Need High yield and guaranteed investments that positively affects the lives of rural farmers? there is no better place to look but thriveagric.com Backed by Telefonica’s Wayra, Ventures platform, Ycombinator and Google’s Launchpad, we are on a mission to create a prosperous and economically resilent Africa powered by Agriculture.","Abuja, Federal Capital Territory, Nigeria",Building the largest network of profitable farmers across Africa!,"12,010",,,,,Less than $1M,2016-01-01,year,Active,,,,,For Profit,https://www.thriveagric.com/,https://www.linkedin.com/company/thriveagric/,"Ayodeji Arikawe, Uka Eje",2,8,61265000,USD,61265000,"Y Combinator, 500 Global, Ventures Platform, West Africa Trade Hub, AYuTe Africa Challenge",5,6,"Agriculture, AgTech, Farming, Information Technology"
AgriAku,https://www.crunchbase.com/organization/agriaku,Growing,101-250,Series A,5000000,USD,5000000,"AgriAku is a technology-based local agribusiness company that enables traders and farm shop owners to get agriculture production facilities at affordable prices through its apps - Agroaku Mitra app, and Agroaku Hub app. The company also offers full-stack agriculture services for small and medium-sized businesses and farmers.","Jakarta, Jakarta Raya, Indonesia","AgriAku is a technology-based local agribusiness company that acts as a distribution bridge for farmers, partners, and producers.","12,111",,,,,$10M to $50M,2021-05-01,month,Active,,,,,For Profit,https://agriaku.com,https://www.linkedin.com/company/agriaku,"Danny Handoko, Irvan Kolonas",2,4,46000000,USD,46000000,"MDI Ventures, InnoVen Capital, BRI Ventures, TNB Aura, Alpha JWC Ventures",4,16,"Agriculture, AgTech, B2B, Farming"
CIBO Technologies,https://www.crunchbase.com/organization/cibo-technologies,Growing,11-50,Series C,30000000,USD,30000000,"CIBO applies advanced technologies to deliver a deep understanding of agricultural systems to help mitigate climate change, advance food system resilience and improve grower outcomes through driving the adoption of sustainable practices.  CIBO is a 2021 Fast Company World Changing Ideas Awards finalist and was named 2021 AgTech Breakthrough “AI-based AgTech Company of the Year.”","Saint Louis Park, Minnesota, United States",CIBO scales regenerative advanced platform technology that connects growers to incentives and enterprises to growers.,"12,244",,,,,Less than $1M,2015-05-07,day,Active,,,,,For Profit,http://www.cibotechnologies.com,https://www.linkedin.com/company/cibo-technologies/,"Bruno Basso, Noubar Afeyan",2,9,67399997,USD,67399997,"Flagship Pioneering, Generation Investment Management, Red Cedar Ventures, Indigo by Telkom Indonesia",1,4,"Agriculture, AgTech, Big Data, Computer Vision, Simulation, Software"
Advanced Farm Technologies,https://www.crunchbase.com/organization/advanced-farm-technologies,Growing,11-50,Corporate Round,,,,"Advanced Farm Technologies is a robotics company for the next frontier of farming. It offers strawberry harvesting services in the Oxnard, Santa Maria. and Watsonville areas. Its robots gently handle berries to avoid bruising and fruit damage.  Advanced Farm Technologies was founded in Davis, California in 2017.","Davis, California, United States",Advanced Farm Technologies is a robotics company focused on automating agricultural tasks.,"12,322",,,,,$10M to $50M,2017-01-01,year,Active,,,,,For Profit,https://advanced.farm/,https://www.linkedin.com/company/advancedfarm,"Carl Allendorph, Cedric Jeanty, Kyle Cobb, Marc Grossman",4,5,34199994,USD,34199994,"Snow Leopard Technology Ventures, CNH Industrial, Yamaha Motor Ventures, Catapult Ventures, Impact Venture Capital",4,8,"Agriculture, AgTech, Farming, Robotics"
Protealis,https://www.crunchbase.com/organization/protealis,,11-50,Grant,1200000,EUR,1288826,Protealis creates improved seeds and seed technologies for legume crops in order to improve their adaptability to the European environment. The objective of the company is to be Europe's best germplasm provider for sustainable plant proteins.,"Gent, Oost-Vlaanderen, Belgium",Sustainable plant proteins for Europe​,"12,382",,,,,,2021-01-01,year,Active,,,,,For Profit,https://www.protealis.com/,https://www.linkedin.com/company/protealis,,,4,40600000,EUR,45884746,"Korys, PMV, Innovation Industries, VIB, Agri Investment Fund",2,13,"Agriculture, AgTech, Biotechnology"
Farm Theory,https://www.crunchbase.com/organization/farm-theory,,1-10,Seed,120000000,INR,1446752,Farm Theory is an agritech platform that sources “ugly” and “imperfect” farm produce from farmers — which are otherwise healthy to eat but are not sold in the market due to imperfections — and sells it to restaurants.,"Bengaluru, Karnataka, India",Farm Theory is an Agri-tech startup that procures fruits and vegetables directly from farms and delivers them right at your doorstep.,"12,470",,,,,$1M to $10M,2019-01-01,year,Active,,,,,For Profit,http://www.farmtheory.in,,"Arpit Agarwal, Sakshi Agarwal",2,2,1596752,USD,1596752,"Y Combinator, Supermorpheus, Merak Ventures",1,3,"AgTech, B2B, Delivery Service, Supply Chain Management"
Guardian Agriculture,https://www.crunchbase.com/organization/kiwi-technologies,Growing,1-10,Grant,200000,USD,200000,"Guardian Agriculture has developed an integrated eVTOL (electric vertical takeoff and landing) system for precision application, extending growers’ reach, reducing environmental impact, and minimizing product resistance. It helps the farmers own the ability to apply from the air with the only automated, electric, aerial crop protection systems designed specifically for agriculture.","Malden, Massachusetts, United States",Guardian Agriculture provides advanced crop protection services using state of the art technology.,"12,507",,,,,$1M to $10M,2017-01-01,year,Active,,,,,For Profit,https://www.guardian.ag,https://www.linkedin.com/company/guardianag,"Adam Bercu, Jeff Feldman Sparks",2,5,51696973,USD,51696973,"Leaps by Bayer, The E14 Fund, Fall Line Capital, Pillar VC, Cavallo Ventures",4,8,"Agriculture, AgTech, Drones, Information Technology, Logistics, Robotics"
Varaha,https://www.crunchbase.com/organization/varaha,Growing,51-100,Non-equity Assistance,,,,Varaha generates carbon credits through its tech solutions.,"Delhi, Delhi, India",Varaha generates carbon credits through its tech solutions.,"12,508",,,,,,2022-01-01,year,Active,,,,,For Profit,https://www.varaha.earth/,https://www.linkedin.com/company/varaha-carbontech/about/,,,3,12693256,USD,12693256,"RTP Global, AgFunder, Omnivore, Better Capital, The Norinchukin Bank",2,11,"AgTech, Environmental Consulting"
eAgronom,https://www.crunchbase.com/organization/eagronom,Growing,51-100,Series A,10000000,EUR,10720527,"“We believe that real change will only happen if economical interests support ecological interests. Climate is warming, soils are weakening and species richness is declining /../ We believe that creating the synergy between economic and society’s interests will accelerate the adoption of regenerative practices rapidly. This is why we exist.“ - Robin Saluoks, Founder of eAgronom eAgronom ambition is to become the most trusted agricultural carbon credit provider in Europe. We have 1,500 paying farmers on our farm monitoring and AI consulting platform, allowing eAgronom to guide farmers toward carbon-capturing practices and provide transparency for carbon credit buyers. Raising Series A in spring 2021. Set up the meeting with the founder here - https://calendly.com/soilevolution/45min-call","Tartu, Tartumaa, Estonia",Accelerating transition to sustainable farming via carbon credits and AI Consulting,"12,584",,,,,$1M to $10M,2016-10-01,month,Active,,,,,For Profit,https://www.eagronom.com/,https://www.linkedin.com/company/16229581/,"Kristjan Luha, Robin Saluoks, Stenver Jerkku",3,6,26661077,USD,26661077,"European Union, LIFT99, Swedbank, Trind Ventures, Soulmates Ventures",6,18,"Agriculture, AgTech, CleanTech, Farming, GreenTech, Software, Sustainability"
Sentera,https://www.crunchbase.com/organization/sentera,Growing,101-250,Series C,,,,"Sentera provides decision support and insights to growers, advisors, and enterprise customers.  Our products use machine learning, modeling, and data sciences tools to gather data, organize it, and quickly turn it into insights that improve outcomes for growers, advisors, and retailers.  We deliver the best insights from high-resolution drone imagery, satellites, field equipment, and other sensors, and combine it with advanced modeling and analytics tools at scale.","Saint Paul, Minnesota, United States",Analytics and machine learning insights for digital agriculture.,"12,586",,,,,$1M to $10M,2014-01-01,year,Active,,,,,For Profit,https://sentera.com,https://www.linkedin.com/company/sentera/,"Eric Taipale, Greg Emerick, John Hudson, Kris Poulson",4,6,62439193,USD,62439193,"AgFunder, S2G Ventures, Caisse de Depot et Placement du Quebec, iSelect Fund, Continental Grain Company",4,8,"Agriculture, AgTech, Analytics, Artificial Intelligence (AI), Farming, Machine Learning, Robotics, Software"
"Enko Chem, Inc.",https://www.crunchbase.com/organization/enko-chem,Growing,11-50,Series C,10000000,USD,10000000,Enko Chem discovers and develops novel products for farmers to protect their crops from pests and diseases. Their proprietary technology platform represents a revolutionary approach to rapidly discovering safe and economical solutions that are needed to ensure sustainable food production.,"Mystic, Connecticut, United States",Enko Chem utilizes predictive analytics to develop products for farmers that protect their crops from pests and disease.,"12,712",,,,,$1M to $10M,2017-01-01,year,Active,,,,,For Profit,https://www.enko.ag,https://www.linkedin.com/company/enko-chem,Jacqueline Heard,1,5,134699999,USD,134699999,"Alumni Ventures, Bill & Melinda Gates Foundation, Connecticut Innovations, Eight Roads Ventures, Castor Ventures",2,16,"Agriculture, AgTech, Analytics, Biotechnology, Chemical"
DigiFarm,https://www.crunchbase.com/organization/digifarm,,51-100,Non-equity Assistance,,,,"DigiFarm is an ag-tech startup that develops deep neural network models using deeply resolved Sentinel-2 imagery at 1m resolution. The company was founded in 2019 and is headquartered in Hamar, Norway.","Hamar, Hedmark, Norway",DigiFarm is an ag-tech startup that detects the world's most accurate field boundaries through using super-resolution satellite imagery.,"12,747",,,,,,2018-01-01,year,Active,,,,,For Profit,https://digifarm.io,https://www.linkedin.com/company/digifarming,"Konstantin Varik, Nils Helset",2,5,4834500,EUR,5363607,"European Innovation Council, RootCamp, European Union Agency for the Space Programme, CASSINI Business Accelerator",1,4,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Software"
Grão Direto,https://www.crunchbase.com/organization/grão-direto,,51-100,Non-equity Assistance,,,,"The agriculture that has so much technology inside the gate and gives lessons of modernity to Brazil and to the world can also be so technological and modern in the commercialization of its products! The Grão Direto forms a web between buyers and producers of grains connected in a much more intelligent way. Through technology, they can interact digitally and much faster and more efficiently. This is either for spot, future or barter trading. Grão Direto was created with the necessary flexibility to support all the chain's profiles: cooperatives, tradings, traditional brokers, feed factories, warehouses, traders and much more. The platform generates market intelligence gains for producers and buyers to make better decisions, as well as more agility in processes associated with marketing (logistics, contract management, financial products and more).","Uberaba, Mato Grosso, Brazil",Grão Direto is a digital commodities trading platform based in Brazil.,"12,819",,,,,,2016-01-01,year,Active,,,,,For Profit,http://www.graodireto.com.br/,https://www.linkedin.com/company/gr%C3%A3o-direto/,"Alexandre Borges, Frederico Vitor Andrade Marques",2,6,14332541,USD,14332541,"Bayer, Google for Startups, Louis Dreyfus Company, Canary, SVG Ventures",5,14,"Agriculture, AgTech, Farming, Software, Trading Platform"
Yard Stick,https://www.crunchbase.com/organization/yard-stick-pbc,Growing,11-50,Convertible Note,,,,"Yard Stick measures soil carbon. Scientists and farmers alike know that climate-friendly agricultural practices have the potential to remove atmospheric CO2 at gigaton/year scale. When these practices are adopted, more carbon is stored in soils, improving soil health and fighting climate change. But significant measurement challenges have held soil carbon efforts back - until now. By reducing the cost of soil carbon measurement by 90%+, Yard Stick will dramatically expand the opportunities for evidence-based regenerative practices to simultaneously improve ecosystem health, increase farmer income, and combat climate change.","Cambridge, Massachusetts, United States",Yard Stick is an in-situ soil carbon measurement technology that offers quantification of soil carbon stocks.,"12,859",,,,,$1M to $10M,2021-01-01,month,Active,,,,,For Profit,https://www.useyardstick.com,https://www.linkedin.com/company/useyardstick,"Chris Tolles, Evan Arnold, Kevin Meissner",3,8,36020858,USD,36020858,"The Nature Conservancy, Elemental Impact, National Science Foundation, Lowercarbon Capital, Toyota Ventures",6,14,"Agriculture, AgTech, Environmental Engineering, Sustainability"
Eekifoods,https://www.crunchbase.com/organization/eekifoods,Growing,11-50,Series A,250900,USD,250900,"Eekifoods develops a unique and proprietary vegetable growing technology, which allows it to produce completely residue-free, Indian and exotic vegetables and sell them profitably at near-market prices.","Kota, Rajasthan, India",Eekifoods develops a unique and proprietary vegetable growing technology.,"13,098",,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,https://eekifoods.com/,https://www.linkedin.com/company/eekifoods/about/,"Abhay Singh, Amit Kumar",2,7,8791495,USD,8791495,"General Catalyst, Spectrum Impact, ICE.vc, SN Damani, Boon Capital",3,27,"Agriculture, AgTech, Farming, Food and Beverage"
KisanKonnect,https://www.crunchbase.com/organization/kisankonnect,Growing,251-500,Seed,,,,"Kisankonnect operates as a farmer-producer company. Kisankonnect has an integrated farming system, which brings the goodness of fresh, hygienic fruits and vegetables.  KisanKonnect directly procures food from a network of 5,000 farmers using village-level collection centers and delivers the produce to consumers in Mumbai and Pune, eliminating intermediaries from the supply chain.","Mumbai, Maharashtra, India",KisanKonnect is an agritech startup that enables users to directly contact and purchase vegetables and other food products from farmers.,"13,254",,,,,$1M to $10M,2020-01-01,year,Active,,,,,For Profit,https://www.kisankonnect.in,https://www.linkedin.com/company/kisankonnect,"Nidhi Nirmal, Vivek Nirmal",2,3,310000000,INR,3741266,"Green Frontier Capital, Dhanuka Agritech, Shilpa Shetty, Grid VC",2,4,"AgTech, E-Commerce, Farming, Mobile Apps"
ClearLeaf,https://www.crunchbase.com/organization/clearleaf,Growing,1-10,Seed,2300000,USD,2300000,"ClearLeaf uses patent-pending technology, organic certified in the EU and Japan, to provide a line of nox-toxic fungicides and bactericides for agricultural use. ClearLeaf currently has pre and post-harvest solutions for coffee, banana, pineapple, multiple vegetables, tubers, sugar cane, melons, papaya, coconut, strawberries, flowers, and many more. GotaBlanca® is currently sold in Costa Rica and ClearLeaf expects to start commercializing its products in Central America no later than the end of 2021. ClearLeaf recently secured an exclusive commercial agreement with Colono Agropecuario, the biggest agrochemical distributor in the Central American Region. Since going to market thru this new distribution partner in 2021, ClearLeaf has been able to quadruple our sales.","Wilmington, Delaware, United States","ClearLeaf uses patent-pending technology, organic certified in the EU and Japan, to control fungi and bacteria in agriculture.","13,282",,,,,$1M to $10M,2017-10-11,day,Active,,,,,For Profit,https://www.clearagro.com,https://www.linkedin.com/company/clearagro,"Agustin Buchert, Alejandro Martinez Soto, Charles Gohmann, Lawrence Pratt, Néstor Zúñiga-Arias",5,6,2975000,USD,2975000,"Village Capital, gbeta, MassChallenge Switzerland, Visa Foundation",4,4,"Agriculture, AgTech, Farming, Horticulture, Sustainability"
Kalera,https://www.crunchbase.com/organization/kalera-produce,,101-250,Post-IPO Equity,100000000,USD,100000000,"Kalera is a vertical farming company. We utilize proprietary technology and plant and seed science to sustainably grow local, delicious, nutrient-rich, pesticide-free, non-GMO leafy greens year-round. In contrast to produce that requires costly and extended long-haul supply chains, our leafy greens are delivered within hours of harvesting, always fresh, and maintain a longer shelf life. Our high-yield, automated, data-driven hydroponic production facilities have been designed for rapid roll-out with attractive unit economics to grow leafy greens faster, cleaner and in a manner that is better for the environment than traditional farming. Given our cost-efficient production process from seed to harvest and capital discipline, we are able to sell our “better than organic” produce at competitive prices. With our mission to serve humanity, wherever we are, fresh, safe, sustainable and affordable nourishment, we aim to become a global leader in controlled-environment agriculture (“CEA”) for leafy greens addressing an estimated $50 billion addressable market opportunity for vertical farming products.","Orlando, Florida, United States",Kalera specializes in the science of hydroponics to create the perfect growing conditions for plants to thrive.,"13,405",,,,,$1M to $10M,2007-01-01,day,Active,2022-06-28,day,,,For Profit,https://www.kalera.com,https://www.linkedin.com/company/kalera,Cristian Toma,1,1,100000000,USD,100000000,,,,"Agriculture, AgTech, Farming"
